Variable,Description,Position
SbjNum,"Label: SbjNum
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8",1
Q_1,"Label: Bom dia /Boa tarde /Boa noite. Meu nome é (NOME DO ENTREVISTADOR). Eu sou entrevistador(a) da IDEALIS PESQUISA e nós estamos realizando um estudo de opinião pública na cidade de Campo Grande/MS. O(a) Sr(a) pode responder algumas perguntas?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",2
Q_2,"Label: Filtro 1. O(a) Sr(a) ou alguém de sua família trabalha em (LEIA OPÇÕES): ?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Agência de Publicidade
2,Área de Marketing
3,Televisão/Rádio/Jornal/Revista
4,Pesquisa de Mercado e Opinião
5,Trabalha em ou para algum Partido político?
6,Afiliado a algum Partido político?
7,Nenhum deles",3
Q_3,"Label: Filtro 2. O(a) Sr(a) tem título de eleitor aqui do município de Campo Grande? Ou seja, o Sr. vota aqui na cidade?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",4
Q_4,"Label: Filtro 3. O(a) Sr(a) pretende votar na próxima eleição?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",5
Q_5,"Label: Filtro 4. O(a) Sr(a) mora aqui nesta casa, de Campo Grande?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",6
região,"Label: Região
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Centro
2,Segredo
3,Prosa
4,Bandeira
5,Anhanduzinho
6,Lagoa
7,Imbirissu
8,Região RURAL - Rochedinho",7
Q_7,"Label: Centro
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Cruzeiro
2,São Francisco
3,Glória
4,Amambaí
5,Monte Líbano
6,Glória
7,Cabreúva",8
Q_8,"Label: Segredo
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Nova Lima
2,Nasser
3,Coronel Antonino
4,José Abrão",9
Q_9,"Label: Prosa
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Novos Estados
2,Carandá
3,Veraneio
4,Margarida
5,Autonomista
6,Estrela Dalva",10
Q_10,"Label: Bandeira
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Tiradentes
2,Universitário
3,Maria Aparecida Pedrossian
4,São Lourenço
5,Jardim Paulista",11
Q_11,"Label: Anhanduizinho 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Aero Rancho
2,Centenário
3,Pioneiro
4,Piratininga
5,Taquarussu",12
Q_12,"Label: Lagoa
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,São Conrado
2,Tijuca
3,Coophavilla II
4,Caiçara",13
Q_13,"Label: Imbirussu
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Santo Amaro
2,Popular
3,Panamá
4,Santo Antônio",14
sexo,"Label: A-Sexo
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Masculino
2,Feminino",15
Q_15,"Label: B-Qual é a sua idade?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,""De  16 a 17 anos (só se for votar, possui título de eleitor)""
2,De 18 a 24 anos
3,De 25 a 34 anos
4,De 35 a 44 anos
5,De 45 a 59 anos
6,60 anos ou mais (mais de 70 anos só se for votar)",16
Instr,"Label: C-Qual é o seu grau de instrução/escolaridade?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Baixo
2,Médio
3,Superior",17
